image,score
24429.jpg,4.034603
55406.jpg,3.672703
82427.jpg,3.621235
47517.jpg,3.660583
135510.jpg,5.06672
142583.jpg,3.763918
36425.jpg,4.086838
161367.jpg,3.406526
60061.jpg,3.637972
149731.jpg,4.014329
129001.jpg,3.723825
91442.jpg,3.507062
42138.jpg,7.188178
42458.jpg,4.727384
19271.jpg,3.714155
14847.jpg,3.376026
130578.jpg,3.912394
61090.jpg,3.606729
46099.jpg,9.631597
187034.jpg,3.948504
23445.jpg,3.697734
75458.jpg,3.980646
264854.jpg,3.830417
35664.jpg,4.11334
147234.jpg,3.486156
93673.jpg,4.212969
85754.jpg,3.639869
106128.jpg,3.329835
106277.jpg,9.59078
103306.jpg,4.063143
90610.jpg,4.061035
39633.jpg,3.602838
220998.jpg,4.172165
264761.jpg,3.532803
45179.jpg,5.134811
209574.jpg,4.354705
147206.jpg,3.981106
115171.jpg,8.582441
129297.jpg,3.490421
55250.jpg,4.387601
48145.jpg,3.552782
284291.jpg,3.873197
39565.jpg,3.311498
84969.jpg,4.270963
286205.jpg,3.737148
218543.jpg,3.539379
11307.jpg,3.530707
179320.jpg,4.723003
47960.jpg,4.134129
91604.jpg,3.59907
87861.jpg,4.28763
33888.jpg,3.438528
80693.jpg,4.286519
46778.jpg,4.529204
50734.jpg,3.949239
99178.jpg,3.923623
114009.jpg,3.621294
75632.jpg,3.821681
30503.jpg,3.407389
268123.jpg,4.470846
144347.jpg,3.9674
16936.jpg,3.729919
88729.jpg,3.532865
30703.jpg,6.979433
294904.jpg,3.800619
66226.jpg,3.504995
271889.jpg,3.579132
32491.jpg,3.591775
21554.jpg,4.344622
127704.jpg,3.329888
43182.jpg,9.999793
106780.jpg,4.007435
104058.jpg,6.562877
15429.jpg,4.586221
270578.jpg,3.722369
178366.jpg,3.471611
97396.jpg,4.34309
193566.jpg,5.759261
93467.jpg,9.494948
231797.jpg,4.389993
95887.jpg,3.296165
184624.jpg,9.999939
80690.jpg,3.761553
52301.jpg,5.368182
95135.jpg,3.551315
138917.jpg,3.752903
55721.jpg,3.376462
93122.jpg,4.005276
83563.jpg,3.687911
80497.jpg,4.744961
37947.jpg,3.809829
71148.jpg,4.279533
95072.jpg,9.14985
287198.jpg,4.128808
293145.jpg,3.568323
142715.jpg,3.994732
145112.jpg,5.345304
214409.jpg,4.713682
101688.jpg,3.520235
13131.jpg,3.737101
13047.jpg,4.13345
54312.jpg,4.997317
205929.jpg,3.611172
140779.jpg,4.473723
167146.jpg,3.733319
188153.jpg,7.241934
103543.jpg,3.726696
16440.jpg,3.589055
36443.jpg,5.382993
43980.jpg,3.739641
32025.jpg,4.652103
12329.jpg,3.680327
37199.jpg,3.674185
39992.jpg,4.081314
175204.jpg,3.556908
139944.jpg,3.58013
19146.jpg,5.586169
187215.jpg,3.838993
87630.jpg,4.152532
21109.jpg,4.050337
107012.jpg,9.250866
54036.jpg,7.345344
48802.jpg,3.587911
13431.jpg,4.691202
88008.jpg,3.670802
185818.jpg,3.62246
187795.jpg,2.930828
19038.jpg,3.93967
133687.jpg,4.608289
58707.jpg,4.295794
41210.jpg,3.678636
216292.jpg,3.760308
30992.jpg,4.538078
26450.jpg,4.648333
180349.jpg,7.99769
65171.jpg,4.627691
19260.jpg,5.023054
