original,opt1,opt2,opt3
299411.jpg,14,4,17
297686.jpg,20,3,12
297523.jpg,19,24,4
298625.jpg,14,4,0
297722.jpg,11,18,28
299769.jpg,13,5,29
297458.jpg,15,7,12
297457.jpg,7,13,5
298624.jpg,2,27,10
298793.jpg,1,6,27
298370.jpg,12,15,26
299235.jpg,15,3,27
298647.jpg,12,6,7
298962.jpg,22,6,17
298274.jpg,27,4,12
297943.jpg,28,8,11
298727.jpg,1,28,18
297776.jpg,7,14,12
297453.jpg,22,12,20
298552.jpg,27,16,10
297856.jpg,26,14,18
298305.jpg,16,10,28
297685.jpg,22,13,27
299535.jpg,9,7,17
298771.jpg,5,2,4
298649.jpg,8,20,15
298776.jpg,3,10,6
298028.jpg,28,14,17
298351.jpg,7,11,4
298782.jpg,12,14,21
298777.jpg,13,20,29
297467.jpg,19,16,22
297456.jpg,14,21,7
298773.jpg,29,6,24
298073.jpg,9,23,3
298197.jpg,3,6,20
297631.jpg,7,8,15
297543.jpg,7,28,1
297466.jpg,17,27,26
299265.jpg,29,22,21
299209.jpg,7,0,17
299130.jpg,3,25,10
298369.jpg,26,8,4
298272.jpg,27,10,28
298271.jpg,9,7,10
298072.jpg,22,1,14
298054.jpg,22,1,27
297675.jpg,16,10,12
299215.jpg,13,14,18
298415.jpg,16,8,14
298412.jpg,29,0,7
297772.jpg,4,7,19
297771.jpg,19,21,9
297770.jpg,4,1,22
297674.jpg,29,15,23
297673.jpg,24,7,28
299216.jpg,12,15,22
299164.jpg,9,19,14
299006.jpg,10,4,16
298623.jpg,19,10,13
297836.jpg,19,13,20
297835.jpg,20,1,0
297787.jpg,12,23,27
297684.jpg,22,5,28
297652.jpg,18,22,9
297515.jpg,23,27,7
299639.jpg,0,18,8
299256.jpg,21,5,7
299255.jpg,6,22,11
299151.jpg,13,5,29
299150.jpg,15,3,9
299147.jpg,27,19,21
298989.jpg,6,22,29
298911.jpg,26,2,19
298885.jpg,3,9,11
298879.jpg,22,3,4
298829.jpg,4,3,8
298723.jpg,1,2,15
298717.jpg,1,12,27
298716.jpg,4,18,9
298670.jpg,24,15,20
298628.jpg,6,11,1
298626.jpg,24,3,9
298622.jpg,22,8,26
298384.jpg,6,8,9
298234.jpg,19,22,23
298026.jpg,11,2,28
297850.jpg,21,26,24
299437.jpg,22,12,19
299436.jpg,4,2,16
299421.jpg,17,29,23
299418.jpg,7,26,9
